month,region,dose_adminstrated,population_under1,strike
2016 Oct,J,4950,89920.6,0
2016 Nov,J,4804,89920.6,0
2016 Dec,J,3985,89920.6,0
2017 Jan,J,4121,62735,0
2017 Feb,J,3889,62735,0
2017 Mar,J,5063,62735,0
2017 Apr,J,4713,62735,0
2017 May,J,4739,62735,0
2017 Jun,J,3849,62735,1
2017 Jul,J,4374,62735,1
2017 Aug,J,4043,62735,1
2017 Sep,J,4679,62735,1
2017 Oct,J,5032,62735,1
2017 Nov,J,4745,62735,0
2017 Dec,J,4559,62735,0
2018 Jan,J,5046,64829,0
2018 Feb,J,4452,64829,0
2018 Mar,J,4786,64829,0
2018 Apr,J,4852,64829,0
2018 May,J,4959,64829,0
2018 Jun,J,4840,64829,0
2018 Jul,J,4992,64829,0
2018 Aug,J,5182,64829,0
2018 Sep,J,5016,64829,0
2018 Oct,J,5287,64829,0
2018 Nov,J,5041,64829,0
2018 Dec,J,4970,64829,0
2019 Jan,J,5182,66374,0
2019 Feb,J,4422,66374,0
2019 Mar,J,5157,66374,0
2019 Apr,J,4918,66374,0
2019 May,J,5452,66374,0
2019 Jun,J,4489,66374,0
2019 Jul,J,4958,66374,0
2019 Aug,J,5095,66374,0
2019 Sep,J,5209,66374,0
2019 Oct,J,5198,66374,0
2019 Nov,J,4853,66374,0
2019 Dec,J,4919,66374,0
2020 Jan,J,5343,59894.6,0
2020 Feb,J,4522,59731,0
2020 Mar,J,5128,59894.6,0
2020 Apr,J,4769,59894.6,0
2020 May,J,5417,59894.6,0
2020 Jun,J,5195,59894.6,0
2020 Jul,J,5301,59894.6,0
2020 Aug,J,5324,59894.6,0
2020 Sep,J,5189,59894.6,0
2020 Oct,J,5177,59894.6,0
2020 Nov,J,5125,59894.6,0
2020 Dec,J,5196,59894.6,0
2021 Jan,J,4893,61547,0
2021 Feb,J,4604,61547,0
2021 Mar,J,5439,61547,0
2021 Apr,J,5250,61547,0
2021 May,J,5400,61547,0
2021 Jun,J,5125,61547,0
2021 Jul,J,5139,61547,0
2021 Aug,J,5019,61547,0
2021 Sep,J,5309,61547,0
2021 Oct,J,4864,61547,0
2021 Nov,J,4824,61547,0
2021 Dec,J,5080,61547,0
